Reference,Biomass materials,C (%),H (%),O (%),N (%),M (%),VM (%),Ash (%),FC (%),Cel (%),Hem (%),Lig (%),AT(℃),RT(℃/min),HT(min),IR,Cond(A/g),Cap(F/g),Family
[1],Potato waste residue,40.81,5.87,52.04,1.16,4.24,77.04,3.02,15.7,31.2,16.6,49.1,700.0,5.0,120.0,2.0,0.5,255.0,Other biomass
[1],Potato waste residue,40.81,5.87,52.04,1.16,4.24,77.04,3.02,15.7,31.2,16.6,49.1,700.0,5.0,120.0,2.0,10.0,192.0,Other biomass
[1],Potato waste residue,40.81,5.87,52.04,1.16,4.24,77.04,3.02,15.7,31.2,16.6,49.1,700.0,5.0,120.0,2.0,8.0,197.0,Other biomass
[1],Potato waste residue,40.81,5.87,52.04,1.16,4.24,77.04,3.02,15.7,31.2,16.6,49.1,700.0,5.0,120.0,2.0,6.0,208.0,Other biomass
[1],Potato waste residue,40.81,5.87,52.04,1.16,4.24,77.04,3.02,15.7,31.2,16.6,49.1,700.0,5.0,120.0,2.0,2.0,224.0,Other biomass
[2],corn husks,46.82,5.74,41.36,0.66,5.72,74.4,5.01,16.1,46.2,33.8,3.92,800.0,5.0,60.0,1.0,1.0,312.0,Herbaceous residues
[2],corn husks,46.82,5.74,41.36,0.66,5.72,74.4,5.01,16.1,46.2,33.8,3.92,800.0,5.0,60.0,1.4,1.0,356.0,Herbaceous residues
[2],corn husks,46.82,5.74,41.36,0.66,5.72,74.4,5.01,16.1,46.2,33.8,3.92,800.0,5.0,60.0,1.8,1.0,344.0,Herbaceous residues
[3],Pomelo mesocarps,42.3,5.76,44.26,0.5,18.3,78.2,4.84,16.9,46.2,18.8,10.2,800.0,5.0,60.0,0.0,0.5,206.0,Fruit/nut residues
[3],Pomelo mesocarps,42.3,5.76,44.26,0.5,18.3,78.2,4.84,16.9,46.2,18.8,10.2,800.0,5.0,120.0,1.0,0.5,245.0,Fruit/nut residues
[3],Pomelo mesocarps,42.3,5.76,44.26,0.5,18.3,78.2,4.84,16.9,46.2,18.8,10.2,800.0,5.0,120.0,1.0,10.0,196.0,Fruit/nut residues
[3],Pomelo mesocarps,42.3,5.76,44.26,0.5,18.3,78.2,4.84,16.9,46.2,18.8,10.2,800.0,5.0,120.0,1.0,20.0,185.0,Fruit/nut residues
[3],Pomelo mesocarps,42.3,5.76,44.26,0.5,18.3,78.2,4.84,16.9,46.2,18.8,10.2,800.0,5.0,120.0,1.0,2.0,220.0,Fruit/nut residues
[3],Pomelo mesocarps,42.3,5.76,44.26,0.5,18.3,78.2,4.84,16.9,46.2,18.8,10.2,800.0,5.0,60.0,0.0,10.0,130.0,Fruit/nut residues
