model,R2_train,MAE_train,RMSE_train,R2_test,MAE_test,RMSE_test,rep
SVR,0.504730640269718,34.17722086834808,47.61423481795746,0.26565553254743524,35.89522934204598,51.28057137751203,0
Random Forest,0.9579582717409093,8.913676923076837,13.872551936099077,0.7224258746956687,25.212116923076962,31.52771034455869,0
LightGBM,0.9489187037123196,10.140902778294778,15.291392428716865,0.8046732676212802,17.682395856489194,26.447448755095124,0
XGBoost,0.9805317220469104,4.418544837756035,9.440170714535332,0.8155994012128178,16.026556928585737,25.697099456291472,0
DNN,0.8182665077440967,21.33390380094151,28.842544086018794,0.5157122057753016,30.64845698722808,41.64421726618152,0
Ensemble (XGB+LGBM),0.9712240163432488,6.76640680718145,11.477073637052234,0.8192062250297726,15.807727548498319,25.44454436416633,0
SVR,0.5609873369538176,31.006928662280014,43.7097895142772,0.2780882719760076,45.7107189123832,58.22153704760192,1
Random Forest,0.9576910620794056,8.729298913308822,13.569262783963467,0.6737098657901417,29.85237394383399,39.142051970338926,1
LightGBM,0.9407698803574631,11.102319768206112,16.05504386247627,0.8147720253184414,21.517942297614663,29.49136722615719,1
XGBoost,0.9769077706086858,5.1014274577605425,10.024740122359697,0.7634015121338057,20.041535902756912,33.33094295271914,1
DNN,0.7883228499668951,22.70399901361866,30.351291883636236,0.6429513293979364,31.952083407596938,40.94541980092228,1
Ensemble (XGB+LGBM),0.9662035201965373,7.713210531101483,12.127629618288612,0.8002579952317057,20.340955073596245,30.62501571306096,1
SVR,0.5412703763836901,32.97742277398904,44.788111556575956,0.3609184001232816,40.15950805873764,53.71919667533485,2
Random Forest,0.9628078449841905,8.112876068376002,12.752931576571555,0.7925553151025293,23.480768547008452,30.60571350880283,2
LightGBM,0.9462473483590794,10.14365819113508,15.33148789476021,0.8035179577390847,20.559179698810524,29.78604110324555,2
XGBoost,0.9782366099296549,4.722043920663687,9.75545726906542,0.8232823773581094,17.183929944160656,28.24823274707087,2
DNN,0.8516169486543907,19.32670116262955,25.472789501040797,0.6256142866601018,30.854702057359685,41.11601222051497,2
