protocol,rep,R2,MAE,RMSE
Random (80/20 repeated),0,0.5266379911766914,37.444119604186696,46.036360769779144
Random (80/20 repeated),1,0.5918605931501666,33.746752357444855,41.3895227742561
Random (80/20 repeated),2,0.503139093091114,41.17630018192834,50.1973146115685
Random (80/20 repeated),3,0.5471327223831477,40.05672908809453,47.69663593582386
Random (80/20 repeated),4,0.2634461076708541,37.54099236226873,55.35378986022011
Random (80/20 repeated),5,0.1478918096007642,43.05065844551037,56.26463907090362
Random (80/20 repeated),6,0.586631130090598,39.473879383695376,47.30554004586617
Random (80/20 repeated),7,0.5602746722054077,35.06066245679008,42.798801554182155
Random (80/20 repeated),8,0.3994048067512227,37.010271878557504,43.06370484683713
Random (80/20 repeated),9,0.4738514504261261,38.153947135926764,47.48498045010261
Random (80/20 repeated),10,0.44745796285697836,43.010590165213166,50.85468721310318
Random (80/20 repeated),11,0.5225388089493078,39.068369797709124,47.459925470922016
Random (80/20 repeated),12,0.12284863365257004,40.20436065423694,56.678078059715574
Random (80/20 repeated),13,0.5215033973142742,42.08162699355827,48.595302439094866
Random (80/20 repeated),14,0.6138673345216836,36.84322386766612,40.64748894818187
Random (80/20 repeated),15,0.5577929464985647,40.1160030349944,47.03987678569029
Random (80/20 repeated),16,0.3940602809841074,36.33028256902606,42.89492661475051
Random (80/20 repeated),17,0.6630850615591403,34.77133955220958,44.80830530807315
Random (80/20 repeated),18,0.4500266596875927,43.180529549132395,51.52029720420158
Random (80/20 repeated),19,0.4760112198398426,39.90798839268683,47.786731181378826
Random (80/20 repeated),20,0.42622125294449453,35.94788376061923,45.61705849165618
Random (80/20 repeated),21,0.5091597573020127,41.25752003428922,49.03106163401039
Random (80/20 repeated),22,0.29083442750768607,49.62128070642149,59.143924588462184
Random (80/20 repeated),23,0.4623653476402715,37.892658175607394,44.832738487026305
Random (80/20 repeated),24,-0.08816538024792542,44.558208503103515,66.7588359018843
Random (80/20 repeated),25,0.0890994309950155,40.16345038058157,60.0662925179895
Random (80/20 repeated),26,-0.2801528891438554,44.39426267122459,64.76153491780028
Random (80/20 repeated),27,0.24898851428951618,42.57340285573136,49.129508599245135
Random (80/20 repeated),28,0.34750604875424573,40.10297135656777,46.36170309477819
Random (80/20 repeated),29,0.5968219217920151,35.560771002598216,42.22903424001245
Random (80/20 repeated),30,0.557974925008955,36.85040402314821,43.97616127598113
Random (80/20 repeated),31,0.4216031140047094,38.3177801311856,47.7369343093677
Random (80/20 repeated),32,0.3689662747077237,42.30596627060087,59.05443937326572
Random (80/20 repeated),33,0.5640988896850094,35.223101738901036,41.02702465491456
Random (80/20 repeated),34,0.0442730840744604,35.24322980725328,53.825116986842794
Random (80/20 repeated),35,0.5678284762451449,34.28483200629247,40.645231929332496
Random (80/20 repeated),36,0.6141701177914487,32.29830955982708,37.00107807685895
Random (80/20 repeated),37,0.6033492414109128,34.69690955040698,42.99137877639181
Random (80/20 repeated),38,0.11810213371018252,35.362562666898924,56.90033707922208
Random (80/20 repeated),39,0.5558280304193803,37.61242675133142,46.912831865794885
Random (80/20 repeated),40,0.3271030310366607,39.87467496297927,47.82659612947137
Random (80/20 repeated),41,0.4130971936162786,42.61100901602858,50.46821328509236
Random (80/20 repeated),42,0.437222623605096,38.833193679306326,47.688687013547934
Random (80/20 repeated),43,0.6017244881639323,41.41482216874549,50.82459742379353
Random (80/20 repeated),44,0.6510761696361578,36.91939904284323,43.56298812739985
Random (80/20 repeated),45,0.558552084961927,33.26716552789716,40.833370636901
Random (80/20 repeated),46,0.5557062836780016,37.39077802499289,45.33057582759725
Random (80/20 repeated),47,0.34876534791148495,41.88110587506979,57.59177493780861
Random (80/20 repeated),48,0.28145878328763396,41.92352707853494,59.700111437253874
Random (80/20 repeated),49,0.4014022983110842,42.22408782031978,58.950485263323245
Random (80/20 repeated),50,0.5110162416309358,38.660399391877704,45.45187378385475
Random (80/20 repeated),51,0.4846856394447957,38.80058201658198,48.915236288749014
Random (80/20 repeated),52,0.5908256411969414,38.571698028347015,43.567780961075016
Random (80/20 repeated),53,0.573178165631915,33.86253793687253,39.47311718340668
Random (80/20 repeated),54,0.34217340413162445,42.43108007370703,50.72432091141151
Random (80/20 repeated),55,0.26707126537132864,37.74810845119962,55.14528526221968
Random (80/20 repeated),56,0.4129871625520287,44.43519836270308,55.30822066193604
Random (80/20 repeated),57,0.36357841641216726,42.697880365358394,58.064446964483864
Random (80/20 repeated),58,0.4953058918281912,37.76373035345961,47.14686326861091
Random (80/20 repeated),59,0.6034623774573256,30.637579987663628,36.95926881671084
Random (80/20 repeated),60,0.2562213981712951,42.72747889933633,49.37039490823445
